회사명,종목코드,KOS
비에이치,090460,kospi
동국씨엠,460850,kospi
동국제강,460860,kospi
이수스페셜티케미컬,457190,kospi
OCI,456040,kospi
SK오션플랜트,100090,kospi
삼성FN리츠,448730,kospi
현대그린푸드,453340,kospi
한화갤러리아,452260,kospi
한화리츠,451800,kospi
코오롱모빌리티그룹,450140,kospi
바이오노트,377740,kospi
유니드비티플러스,446070,kospi
LX세미콘,108320,kospi
KB스타리츠,432320,kospi
쏘카,403550,kospi
수산인더스트리,126720,kospi
마스턴프리미어리츠,357430,kospi
코람코더원리츠,417310,kospi
LG에너지솔루션,373220,kospi
신한서부티엔디리츠,404990,kospi
미래에셋글로벌리츠,396690,kospi
SK스퀘어,402340,kospi
NH올원리츠,400760,kospi
카카오페이,377300,kospi
케이카,381970,kospi
HD현대중공업,329180,kospi
SK리츠,395400,kospi
일진하이솔루스,271940,kospi
디앤디플랫폼리츠,377190,kospi
아주스틸,139990,kospi
롯데렌탈,089860,kospi
한컴라이프케어,372910,kospi
크래프톤,259960,kospi
PI첨단소재,178920,kospi
카카오뱅크,323410,kospi
에스디바이오센서,137310,kospi
엠씨넥스,097520,kospi
LX홀딩스,383800,kospi
F&F,383220,kospi
엔에이치스팩19호,380440,kospi
SK아이이테크놀로지,361610,kospi
SK바이오사이언스,302440,kospi
화승알앤에이,378850,kospi
프레스티지바이오파마,950210,kospi
솔루엠,248070,kospi
DL이앤씨,375500,kospi
ESR켄달스퀘어리츠,365550,kospi
명신산업,009900,kospi
에이플러스에셋,244920,kospi
교촌에프앤비,339770,kospi
하이브,352820,kospi
티와이홀딩스,363280,kospi
코람코에너지리츠,357120,kospi
제이알글로벌리츠,348950,kospi
미래에셋맵스리츠,357250,kospi
이지스레지던스리츠,350520,kospi
이지스밸류플러스리츠,334890,kospi
에스케이바이오팜,326030,kospi
대덕전자,353200,kospi
케이씨씨글라스,344820,kospi
NH프라임리츠,338100,kospi
씨티알모빌리티,308170,kospi
HD현대에너지솔루션,322000,kospi
한화시스템,272210,kospi
자이에스앤디,317400,kospi
롯데리츠,330590,kospi
지누스,013890,kospi
두산퓨얼셀,336260,kospi
솔루스첨단소재,336370,kospi
콘텐트리중앙,036420,kospi
포스코퓨처엠,003670,kospi
현대오토에버,307950,kospi
드림텍,192650,kospi
더블유게임즈,192080,kospi
우리금융지주,316140,kospi
에어부산,298690,kospi
아시아나IDT,267850,kospi
세아제강,306200,kospi
하나제약,293480,kospi
우진아이엔에스,010400,kospi
신한알파리츠,293940,kospi
한일시멘트,300720,kospi
티웨이항공,091810,kospi
롯데정보통신,286940,kospi
효성중공업,298040,kospi
효성첨단소재,298050,kospi
효성티앤씨,298020,kospi
효성화학,298000,kospi
이리츠코크렙,088260,kospi
HDC현대산업개발,294870,kospi
애경산업,018250,kospi
셀트리온,068270,kospi
쿠쿠홈시스,284740,kospi
SK케미칼,285130,kospi
BGF리테일,282330,kospi
동양피스톤,092780,kospi
진에어,272450,kospi
케이씨텍,281820,kospi
동아타이어,282690,kospi
삼양패키징,272550,kospi
테이팩스,055490,kospi
롯데웰푸드,280360,kospi
제일약품,271980,kospi
카카오,035720,kospi
오리온,271560,kospi
미원에스씨,268280,kospi
경동도시가스,267290,kospi
넷마블,251270,kospi
HD현대,267250,kospi
HD현대건설기계,267270,kospi
HD현대일렉트릭,267260,kospi
크라운제과,264900,kospi
덴티움,145720,kospi
호전실업,111110,kospi
핸즈코퍼레이션,143210,kospi
두산밥캣,241560,kospi
삼성바이오로직스,207940,kospi
JW생명과학,234080,kospi
화승엔터프라이즈,241590,kospi
LS전선아시아,229640,kospi
모두투어리츠,204210,kospi
일동제약,249420,kospi
샘표식품,248170,kospi
두올,016740,kospi
동서,026960,kospi
한국자산신탁,123890,kospi
한국토지신탁,034830,kospi
해성디에스,195870,kospi
용평리조트,070960,kospi
용평리조트,070960,kospi
해태제과식품,101530,kospi
삼일씨엔에스,004440,kospi
제이에스코퍼레이션,194370,kospi
잇츠한불,226320,kospi
세진중공업,075580,kospi
금호에이치티,214330,kospi
제주항공,089590,kospi
현대코퍼레이션홀딩스,227840,kospi
LIG넥스원,079550,kospi
HDC랩스,039570,kospi
동일제강,002690,kospi
AJ네트웍스,095570,kospi
이노션,214320,kospi
토니모리,214420,kospi
미래에셋생명,085620,kospi
경보제약,214390,kospi
SK디앤디,210980,kospi
다이나믹디자인,145210,kospi
한솔제지,213500,kospi
디와이파워,210540,kospi
삼성물산,028260,kospi
씨에스윈드,112610,kospi
삼성에스디에스,018260,kospi
HL만도,204320,kospi
서연이화,200880,kospi
쿠쿠홀딩스,192400,kospi
화인베스틸,133820,kospi
BGF,027410,kospi
코스맥스,192820,kospi
종근당,185750,kospi
신송홀딩스,006880,kospi
아세아시멘트,183190,kospi
현대로템,064350,kospi
한진칼,180640,kospi
엔에이치엔,181710,kospi
JB금융지주,175330,kospi
DSR,155660,kospi
한국패러랠,168490,kospi
동아에스티,170900,kospi
지엠비코리아,013870,kospi
LG헬로비전,037560,kospi
동일고무벨트,163560,kospi
한국콜마,161890,kospi
한국타이어앤테크놀로지,161390,kospi
애경케미칼,161000,kospi
SK렌터카,068400,kospi
바다로19호,155900,kospi
사조씨푸드,014710,kospi
한국ANKOR유전,152550,kospi
휴비스,079980,kospi
케이탑리츠,145270,kospi
GS리테일,007070,kospi
인터지스,129260,kospi
삼양사,145990,kospi
하나투어,039130,kospi
에이블씨엔씨,078520,kospi
삼원강재,023000,kospi
신세계인터내셔날,031430,kospi
에이리츠,140910,kospi
한국항공우주,047810,kospi
롯데하이마트,071840,kospi
한세엠케이,069640,kospi
코오롱플라스틱,138490,kospi
이마트,139480,kospi
DGB금융지주,139130,kospi
케이티스카이라이프,053210,kospi
세아특수강,019440,kospi
메리츠금융지주,138040,kospi
한국종합기술,023350,kospi
BNK금융지주,138930,kospi
롯데에너지머티리얼즈,020150,kospi
현대위아,011210,kospi
선진,136490,kospi
미원화학,134380,kospi
시디즈,134790,kospi
HSD엔진,082740,kospi
대성에너지,117580,kospi
현대퓨처넷,126560,kospi
KTis,058860,kospi
한전산업,130660,kospi
엘브이엠씨,900140,kospi
비케이탑스,030790,kospi
휠라홀딩스,081660,kospi
KTcs,058850,kospi
