회사명,종목코드,KOS
교보14호스팩,456490,kosdaq
이노시뮬레이션,274400,kosdaq
알멕,354320,kosdaq
오픈놀,440320,kosdaq
시큐센,232830,kosdaq
하나29호스팩,454640,kosdaq
KB제25호스팩,455250,kosdaq
엔에이치스팩29호,451700,kosdaq
하이제8호스팩,450050,kosdaq
프로테옴텍,303360,kosdaq
큐라티스,348080,kosdaq
마녀공장,439090,kosdaq
나라셀라,405920,kosdaq
진영,285800,kosdaq
기가비스,420770,kosdaq
팸텍,271830,kosdaq
모니터랩,434480,kosdaq
씨유박스,340810,kosdaq
키움제8호스팩,446840,kosdaq
트루엔,417790,kosdaq
에스바이오메딕스,304360,kosdaq
슈어소프트테크,298830,kosdaq
토마토시스템,393210,kosdaq
마이크로투나노,424980,kosdaq
셀바이오휴먼텍,318160,kosdaq
미래에셋비전스팩3호,448830,kosdaq
IBKS제22호스팩,448760,kosdaq
하나27호스팩,448370,kosdaq
지아이이노베이션,358570,kosdaq
LB인베스트먼트,309960,kosdaq
유안타제12호스팩,446150,kosdaq
엑스게이트,356680,kosdaq
미래에셋드림스팩1호,442900,kosdaq
금양그린파워,282720,kosdaq
라온텍,418420,kosdaq
엔에이치스팩28호,450410,kosdaq
자람테크놀로지,389020,kosdaq
하나26호스팩,446750,kosdaq
나노팀,417010,kosdaq
바이오인프라,199730,kosdaq
삼성스팩8호,448740,kosdaq
유안타제13호스팩,449020,kosdaq
미래에셋비전스팩2호,446190,kosdaq
이노진,344860,kosdaq
화인써키트,127980,kosdaq
제이오,418550,kosdaq
샌즈랩,411080,kosdaq
꿈비,407400,kosdaq
스튜디오미르,408900,kosdaq
삼기이브이,419050,kosdaq
오브젠,417860,kosdaq
미래반도체,254490,kosdaq
티이엠씨,425040,kosdaq
한주라이트메탈,198940,kosdaq
옵티코어,380540,kosdaq
신영스팩9호,445970,kosdaq
신스틸,162300,kosdaq
비엔케이제1호스팩,445360,kosdaq
IBKS제21호스팩,442770,kosdaq
엔에이치스팩27호,440820,kosdaq
핑거스토리,417180,kosdaq
SAMG엔터,419530,kosdaq
대신밸런스제14호스팩,442310,kosdaq
엔에이치스팩26호,439410,kosdaq
유진스팩9호,442130,kosdaq
대신밸런스제13호스팩,438220,kosdaq
펨트론,168360,kosdaq
인벤티지랩,389470,kosdaq
엔젯,419080,kosdaq
유비온,084440,kosdaq
티쓰리,204610,kosdaq
티에프이,425420,kosdaq
윤성에프앤씨,372170,kosdaq
디티앤씨알오,383930,kosdaq
뉴로메카,348340,kosdaq
제이아이테크,417500,kosdaq
엔에이치스팩25호,438580,kosdaq
케이비제23호스팩,440200,kosdaq
교보13호스팩,440790,kosdaq
큐알티,405100,kosdaq
IBKS제20호스팩,439730,kosdaq
저스템,417840,kosdaq
산돌,419120,kosdaq
삼성스팩7호,439250,kosdaq
플라즈맵,405000,kosdaq
엔에이치스팩24호,437780,kosdaq
핀텔,291810,kosdaq
하나금융25호스팩,435620,kosdaq
한국제11호스팩,436610,kosdaq
샤페론,378800,kosdaq
비스토스,419540,kosdaq
탑머티리얼,360070,kosdaq
에스비비테크,389500,kosdaq
오에스피,368970,kosdaq
모델솔루션,417970,kosdaq
이노룰스,296640,kosdaq
파인엠텍,441270,kosdaq
SK증권제8호스팩,435870,kosdaq
유안타제10호스팩,435380,kosdaq
선바이오,067370,kosdaq
더블유씨피,393890,kosdaq
알피바이오,314140,kosdaq
하나금융24호스팩,430230,kosdaq
한화플러스제3호스팩,430460,kosdaq
오픈엣지테크놀로지,394280,kosdaq
케이비제22호스팩,436530,kosdaq
하나금융23호스팩,427950,kosdaq
키움제7호스팩,433530,kosdaq
IBKS제19호스팩,426550,kosdaq
신영스팩8호,430220,kosdaq
대성하이텍,129920,kosdaq
에이치와이티씨,148930,kosdaq
새빗켐,107600,kosdaq
유안타제9호스팩,430700,kosdaq
신한제10호스팩,418210,kosdaq
아이씨에이치,368600,kosdaq
성일하이텍,365340,kosdaq
에이프릴바이오,397030,kosdaq
에이프릴바이오,397030,kosdaq
벨로크,424760,kosdaq
루닛,328130,kosdaq
HPSP,403870,kosdaq
와이씨켐,112290,kosdaq
코난테크놀로지,402030,kosdaq
넥스트칩,396270,kosdaq
삼성스팩6호,425290,kosdaq
엔에이치스팩23호,422040,kosdaq
교보12호스팩,421800,kosdaq
레이저쎌,412350,kosdaq
보로노이,310210,kosdaq
위니아에이드,377460,kosdaq
케이비제21호스팩,424140,kosdaq
비플라이소프트,148780,kosdaq
범한퓨얼셀,382900,kosdaq
청담글로벌,362320,kosdaq
하나금융22호스팩,418170,kosdaq
가온칩스,399720,kosdaq
대명에너지,389260,kosdaq
상상인제3호스팩,415580,kosdaq
신영스팩7호,419270,kosdaq
포바이포,389140,kosdaq
신한제9호스팩,405640,kosdaq
미래에셋비전스팩1호,412930,kosdaq
키움제6호스팩,413600,kosdaq
지투파워,388050,kosdaq
유진스팩8호,413630,kosdaq
세아메카닉스,396300,kosdaq
공구우먼,366030,kosdaq
유일로보틱스,388720,kosdaq
모아데이타,288980,kosdaq
메쎄이상,408920,kosdaq
노을,376930,kosdaq
비씨엔씨,146320,kosdaq
풍원정밀,371950,kosdaq
스톤브릿지벤처스,330730,kosdaq
하나금융21호스팩,406760,kosdaq
브이씨,365900,kosdaq
퓨런티어,370090,kosdaq
바이오에프디엔씨,251120,kosdaq
한국제10호스팩,409570,kosdaq
IBKS제17호스팩,405350,kosdaq
인카금융서비스,211050,kosdaq
나래나노텍,137080,kosdaq
아셈스,136410,kosdaq
스코넥,276040,kosdaq
이지트로닉스,377330,kosdaq
애드바이오텍,179530,kosdaq
애드바이오텍,179530,kosdaq
케이옥션,102370,kosdaq
디비금융스팩10호,404950,kosdaq
오토앤,353590,kosdaq
래몽래인,200350,kosdaq
하나금융20호스팩,400560,kosdaq
교보11호스팩,397880,kosdaq
하이제7호스팩,400840,kosdaq
우리벤처파트너스,298870,kosdaq
툴젠,199800,kosdaq
마음AI,377480,kosdaq
알비더블유,361570,kosdaq
바이옵트로,222160,kosdaq
트윔,290090,kosdaq
아이티아이즈,372800,kosdaq
지오엘리먼트,311320,kosdaq
디어유,376300,kosdaq
비트나인,357880,kosdaq
지니너스,389030,kosdaq
피코그램,376180,kosdaq
엔켐,348370,kosdaq
리파인,377450,kosdaq
지앤비에스 에코,382800,kosdaq
아이패밀리에스씨,114840,kosdaq
차백신연구소,261780,kosdaq
지아이텍,382480,kosdaq
